#,description,eif,attached-schedule-ref-#,value,income-type,income-amount,location,underlying-assets,notes
2,40 Wall Street LLC,N/A,5,"Over $50,000,000",rent,"Over $5,000,000","New York, NY",commercial real estate,See attached schedule
4,401 North Wabash Venture LLC,N/A,8,"Over $50,000,000",rent,"Over $5,000,000","Chicago, IL",residential & commercial real estate,See attached schedule
,,,,,condo sales,"$90,249",,,
5,809 NORTH CANON LLC,N/A,9,"$5,000,001 - $25,000,000",,None (or less than $201),"Beverly Hills, CA",residential real estate,See attached schedule
7,845 UN Limited Partnership,N/A,12,"$5,000,001 - $25,000,000",rent,"$1,000,001 - $5,000,000","New York, NY",commercial real estate,See attached schedule
8,"Caribusiness Investments, S.R.L.",N/A,25,"$1,000,001 - $5,000,000",,None (or less than $201),Dominican Republic,land,See attached schedule
10,"Country Apartments, LLC",N/A,32,"$1,001 - $15,000",,None (or less than $201),"New York, NY",none,Value reported reflects bank account holding only. Entity set up to buy & sell residential real estate. See attached schedule
11,"Country Properties, LLC",N/A,34,"$50,001 - $100,000",,None (or less than $201),"Norfolk, VA",residential real estate,See attached schedule
12,"D B Pace Acquisition , LLC",N/A,36,"$1,000,001 - $5,000,000",,None (or less than $201),"New York, NY","land, building and ff&e",See attached schedule
13,DJT AEROSPACE LLC,N/A,39,"$1,000,001 - $5,000,000",rent,None (or less than $201),"New York, NY",aircraft,See attached schedule
14,DJT HOLDINGS LLC,N/A,42,"$1,000,001 - $5,000,000",interest,"$15,001 - $50,000","New York, NY",,Value reported reflects bank account only. Entity's other holdings and assets are reported elsewhere; see attached schedule. Holding company
17,DJT OPERATIONS I LLC,N/A,46,"Over $50,000,000",rent,"$1,000,001 - $5,000,000","New York, NY",aircraft,See attached schedule
18,DT CONNECT II LLC,N/A,55,"$1,000,001 - $5,000,000",,None (or less than $201),"Palm Beach, FL",aircraft,See attached schedule
20,DT DUBAI GOLF MANAGER LLC,N/A,59,"$1,001 - $15,000",management fees,"$12,984","Dubai, UAE",management deal with DAMAC CRESCENT PROPERTIES LLC - value not readily ascertainable,Value reported reflects bank account holding only. Management company. See attached schedule.
21,DT HOME MARKS INTERNATIONAL LLC,N/A,63,"$1,001 - $15,000",royalties,"$100,001 - $1,000,000","New York, NY","license deal with RNA RESOURCES GROUP LTD, DORYA INTERNATIONAL LLC, HOMESTUDIO INTERNATIONAL SA, WONU CO LTD - value not readily ascertainable",Value reported reflects bank account holding only. License holder; See attached schedule.
24,Excel Venture I LLC,N/A,98,"$25,000,001 - $50,000,000",rent,"$100,001 - $1,000,000","St. Martin, French West Indies",residential rental property,See attached schedule
26,Fifty-Seventh Street Associates LLC,N/A,100,"Over $50,000,000",rent,"Over $5,000,000","New York, NY",commercial real estate,See attached schedule
30,TRUMP NATIONAL GOLF CLUB - JUPITER,N/A,117,"Over $50,000,000",golf related revenue,"$20,131,872","Jupiter, FL",golf club,See attached schedule
31,LAMINGTON FAMILY HOLDINGS LLC,N/A,119,"$100,001 - $250,000",,None (or less than $201),"Bedminster, NJ",land,See attached schedule
32,TRUMP NATIONAL GOLF CLUB - BEDMINSTER,N/A,120,"Over $50,000,000",golf related revenue,"$19,752,500","Bedminster, NJ",golf club,See attached schedule
34,"MAR-A-LAGO CLUB, L.L.C.",N/A,126,"Over $50,000,000",resort related revenue,"$37,251,635","Palm Beach, FL",resort,See attached schedule
36,PINE HILL DEVELOPMENT LLC,N/A,142,"$100,001 - $250,000",,None (or less than $201),"Pine Hill, NJ",golf club,See attached schedule
37,Seven Springs LLC,N/A,153,"$25,000,001 - $50,000,000",interest,"$2,501 - $5,000","Mt. Kisco, NY",real estate,See attached schedule
38,TRUMP TURNBERRY,N/A,157,"Over $50,000,000",golf related revenue,"$14,487,619","Turnberry, Scotland",golf courses and resort,See attached schedule
39,T International Realty LLC,N/A,160,"$250,001 - $500,000",commissions,"$3,374,860","New York, NY",brokerage company,Value reported reflects bank account only. See attached schedule
40,THC CENTRAL RESERVATIONS LLC,N/A,167,"$50,001 - $100,000",,None (or less than $201),"New York, NY",hotel company,See attached schedule
41,THC CHINA DEVELOPMENT LLC,N/A,169,"$1,001 - $15,000",,None (or less than $201),"New York, NY",developer,Value reported reflects bank account only. See attached schedule
42,THC SALES & MARKETING LLC,N/A,184,"$100,001 - $250,000",,None (or less than $201),"New York, NY",management company,Value reported reflects bank account only. See attached schedule
43,"The East 61 Street Company, LP",N/A,199,"$5,000,001 - $25,000,000",,None (or less than $201),"New York, NY",residential real estate,See attached schedule
44,THE TRUMP CORPORATION,N/A,200,"Over $50,000,000",management and related fees,"$18,045,141","New York, NY",management company,See attached schedule
45,The Trump-Equitable Fifth Avenue Company,N/A,208,"$1,001 - $15,000",rent,"$100,001 - $1,000,000","New York, NY",,Value reported reflects bank account only. Entity's other holdings and assets are reported elsewhere; see attached schedule. Pass-thru entity
46,TRUMP INTERNATIONAL GOLF LINKS - DOONBEG,N/A,211,"$5,000,001 - $25,000,000",golf related revenue,"$12,498,172","Doonbeg, Ireland",golf course and resort,See attached schedule
47,TIHT COMMERCIAL LLC,N/A,218,"$5,000,001 - $25,000,000",rent,"$1,000,001 - $5,000,000","New York, NY",commercial real estate,See attached schedule
48,TIHT HOLDING COMPANY LLC,N/A,219,"$1,000,001 - $5,000,000",rent,"$100,001 - $1,000,000","New York, NY",hotel condo unit,See attached schedule
49,TRUMP NATIONAL GOLF CLUB - CHARLOTTE,N/A,223,"$5,000,001 - $25,000,000",golf related revenue,"$15,016,404","Charlotte, NC",golf club,See attached schedule
50,TRUMP NATIONAL GOLF CLUB - HUDSON VALLEY,N/A,225,"$5,000,001 - $25 ,000,000",golf related revenue,"$5,323,573","Hopewell Junction, NY",golf club,See attached schedule
51,TRUMP NATIONAL GOLF CLUB - PHILADELPHIA,N/A,229,"$5,000,001 - $25,000,000",golf related revenue,"$5,258,866","Pine Hill, NJ",golf club,See attached schedule
52,TRUMP 106 CPS LLC,N/A,234,"$15,001 - $50,000",,None (or less than $201),"New York, NY",none,Value reported reflects bank account only. See attached schedule
55,TRUMP 845 UN MGR CORP,N/A,237,"$1,001 - $15,000",,None (or less than $201),"New York, NY",,Value reported reflects bank account only. Entity's other holdings and assets are reported elsewhere; see attached schedule. Pass-thru entity
