#,description,eif,value,income-type,income-amount
1,BARON REAL ESTATE FUND,Y,"None (or less than $1,001)",,"$100,001 - $1,000,000"
2,BARON GROWTH FUND,Y,"None (or less than $1,001)",,"$100,001 - $1,000,000"
3,BARON PARTNERS FUND,Y,"None (or less than $1,001)",,"$100,001 - $1,000,000"
4,"AG DIVERSIFIED INCOME FUND PLUS, LP (f/k/a AG DIVERSIFIED CREDIT STRATEGIES FUND LP) (ANGELO GORDON)",Y,"None (or less than $1,001)",,"$100,001 - $1,000,000"
5,MIDOCEAN CREDIT OPPORTUNITY FUND LP (MIDOCEAN CREDIT PARTNERS),Y,"$1,000,001 - $5,000,000",,"$100,001 - $1,000,000"
6,JP MORGAN CHASE - CHECKING AND SAVINGS ACCOUNTS,N/A,"$1,000,001 - $5,000,000",Interest,"$1,001 - $2,500"
7,CAPITAL ONE BANK - CHECKING AND SAVINGS,N/A,"$5,000,001 - $25,000,000",Interest,"$100,001 - $1,000,000"
8,SIGNATURE BANK - CHECKING,N/A,"$100,001 - $250,000",Interest,"$1,001 - $2,500"
9,"BANK UNITED, NA - MONEY MARKET",N/A,"$100,001 - $250,000",Interest,"$1,001 - $2,500"
10,FIRST REPUBLIC BANK - CHECKING,N/A,"$15,001 - $50,000",Interest,None (or less than $201)
11,INVESTMENT IN GOLD,N/A,"$100,001 - $250,000",,None (or less than $201)
12,WMTMF LLC (US BANK CASH ACCOUNT),N/A,"$50,001 - $100,000",,None (or less than $201)
,BARCLAYS BANK - BROKERAGE ACCOUNT - HOLDINGS,,,,
1,AT&T INC,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$2,501 - $5,000"
2,ASTRAZENECA PLC ADR,N/A,"None (or less than $1,001)",Capital Gain,"$201 - $1,000"
3,CROWN CASTLE INTL CORP,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$201 - $1,000"
4,GENERAL ELECTRIC COMPANY,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$1,001 - $2,500"
5,HALLIBURTON COMPANY,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$2,501 - $5,000"
6,ISHS EURO FINLS INDX ETF,Y,"None (or less than $1,001)",,"$201 - $1,000"
7,KINDER MORGAN INC DE,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$2,501 - $5,000"
8,KRAFT HEINZ CO,N/A,"None (or less than $1,001)",Capital Gain,"$201 - $1,000"
9,METLIFE INC,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$2,501 - $5,000"
10,PHILIP MORRIS INTL INC,N/A,"None (or less than $1,001)",Capital Gain,"$201 - $1,000"
11,PFIZER INC,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$201 - $1,000"
12,PRUDENTIAL FINL INC,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$2,501 - $5,000"
13,RAYTHEON COMPANY NEW,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$2,501 - $5,000"
14,SPDR S&P BANK ETF,Y,"None (or less than $1,001)",,"$1,001 - $2,500"
